angle_slope,auxiliaries_power_loss,engine_capacity,engine_max_power,f0,f1,f2,has_start_stop,n_wheel_drive,vehicle_mass,AvgV,InitT
-0.004434087,0.076153827,1956,121,155.0348763,0.237707209,0.036098652,1,2,1667,19.39122807,23
-0.067762661,0.706567379,1686,81,153.5298072,0.360954206,0.032662477,1,2,1650,19.39122807,23
0.010242901,0.563655844,1598,100,153.5298072,0.360954206,0.032662477,1,2,1650,19.39122807,23
0.021629263,1.312027833,1686,96,153.5298072,0.242913274,0.035953505,1,2,1650,19.39122807,23
0.005066008,1.080433924,1956,143,159.8822871,0.242913274,0.035953505,1,2,1722,19.39122807,23
0.022883562,0.429868841,1598,81,155.7788949,0.297276591,0.034437834,1,2,1675,19.39122807,23
0.016032285,0.079003215,1956,121,158.9641403,0.297276591,0.034437834,1,2,1711,19.39122807,23
-0.025673373,1.336740765,1560,68,117.5804269,0.322719781,0.033728468,1,2,1245,19.39122807,23
0.046161157,1.332842772,1560,68,117.5804269,0.322719781,0.033728468,1,2,1245,19.39122807,23
-0.028970851,1.289811425,1995,110,208.3384391,-0.04763014,0.044053969,0,2,2267,19.39122807,23.0449646
-0.01500956,0.696716184,1870,95,175.6682659,-0.11904622,0.046045078,0,4,1900,19.39122807,23.04459914
-0.019103198,1.598208344,1248,59,123.0832248,0.333467374,0.033428821,1,2,1307,19.39122807,23
-0.003649407,0.086839181,1248,59,123.0832248,0.333467374,0.033428821,1,2,1307,19.39122807,23
0.015673256,0.259173023,1248,59,124.5895401,0.333467374,0.033428821,1,2,1324,19.39122807,23
-0.043472594,0.036130824,1248,59,124.5895401,0.333467374,0.033428821,1,2,1324,19.39122807,23
0.02630831,0.358971117,1597,88,140.7298938,0.295984558,0.034473857,1,2,1506,19.39122807,23
-0.008904244,1.039866542,1597,88,140.7298938,0.295984558,0.034473857,1,2,1506,19.39122807,23
0.033752248,1.585883307,1597,88,140.7298938,0.295984558,0.034473857,1,2,1506,19.39122807,23
-0.034043229,1.08585201,1597,88,140.7298938,0.295984558,0.034473857,1,2,1506,19.39122807,23
-0.020699076,0.806039287,1597,88,140.7298938,0.295984558,0.034473857,1,2,1506,19.39122807,23
-0.000924631,1.208109275,1597,88,140.7298938,0.295984558,0.034473857,1,2,1506,19.39122807,23
0.017351661,1.028913945,1597,88,140.7298938,0.295984558,0.034473857,1,2,1506,19.39122807,23
0.013765777,0.969522697,1582,94,143.0598242,0.367343596,0.032484339,1,2,1532,19.39122807,23
0.009245111,1.327023471,1582,94,143.0598242,0.367343596,0.032484339,1,2,1532,19.39122807,23
0.03144613,0.512914735,1582,94,143.0598242,0.367343596,0.032484339,1,2,1532,19.39122807,23
0.044430668,0.376099584,1582,94,143.0598242,0.367343596,0.032484339,1,2,1532,19.39122807,23
0.025290436,0.572002565,2199,145,186.3816526,-0.186694627,0.047931142,0,2,2019,19.39122807,23.04381251
0.030862299,0.518623174,2191,110,153.3127147,0.321567596,0.033760591,1,2,1647,19.39122807,23
0.014792694,1.131568914,2191,110,153.3127147,0.321567596,0.033760591,1,2,1647,19.39122807,23
0.011492999,1.293884886,2191,110,153.3127147,0.321567596,0.033760591,1,2,1647,19.39122807,23
0.039234924,0.374522137,2191,110,153.3127147,0.321567596,0.033760591,1,2,1647,19.39122807,23
-0.014595194,0.233652959,2191,110,153.3127147,0.321567596,0.033760591,1,2,1647,19.39122807,23
0.025347053,0.652758629,2191,110,153.3127147,0.321567596,0.033760591,1,2,1647,19.39122807,23
-0.029559139,0.654999952,2191,110,157.4094581,-0.157911233,0.04712865,0,2,1694,19.39122807,23.04969058
0.027818034,1.446742474,2191,110,157.4094581,-0.157911233,0.04712865,0,2,1694,19.39122807,23.04969058
-0.012899522,1.10466784,2191,110,157.4094581,-0.157911233,0.04712865,0,2,1694,19.39122807,23.04969058
0.001267324,0.748742818,2191,110,157.4094581,-0.157911233,0.04712865,0,2,1694,19.39122807,23.04969058
0.003804501,0.478243998,2191,110,157.4094581,-0.157911233,0.04712865,0,2,1694,19.39122807,23.04969058
-0.008502835,0.631159157,1461,66,143.2684291,0.31770905,0.033868169,1,2,1534,19.39122807,23
-0.035474302,0.833544104,1461,66,143.2684291,0.31770905,0.033868169,1,2,1534,19.39122807,23
-0.023094542,1.003118066,1461,66,143.2684291,0.31770905,0.033868169,1,2,1534,19.39122807,23
-0.021434007,0.307210861,1461,80,143.2684291,0.31770905,0.033868169,1,2,1534,19.39122807,23
